City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Qui Nhon,VN,13.7667,109.2333,70.74,84,100,8.59,overcast clouds
80,Saint-Louis,SN,16.3333,-15.0,82.33,12,100,8.79,overcast clouds
81,Ararangua,BR,-28.9347,-49.4858,80.49,76,96,5.06,overcast clouds
82,Avarua,CK,-21.2078,-159.775,80.6,83,75,5.75,broken clouds
83,Siay,PH,7.6961,122.8631,75.15,84,97,4.54,overcast clouds
84,Qaanaaq,GL,77.484,-69.3632,-3.44,88,100,0.6,overcast clouds
85,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,75,75,2.3,broken clouds
86,Hithadhoo,MV,-0.6,73.0833,82.6,76,100,13.04,overcast clouds
87,Chapleau,CA,47.8405,-83.4034,14.0,52,20,9.22,few clouds
88,East London,ZA,-33.0153,27.9116,75.42,84,22,15.08,few clouds
89,Pattoki,PK,31.0167,73.85,51.44,44,0,7.25,clear sky
90,Coahuayana,MX,18.7333,-103.6833,84.2,45,1,6.87,clear sky
91,Bambous Virieux,MU,-20.3428,57.7575,81.0,78,75,11.5,broken clouds
92,Concepcion Del Uruguay,AR,-32.4825,-58.2372,75.0,73,99,3.0,overcast clouds
93,Constitucion,CL,-35.3333,-72.4167,64.49,70,16,9.64,few clouds
94,Guder,ET,8.9667,37.7667,58.77,34,0,5.1,clear sky
95,Maarianhamina,AX,60.0973,19.9348,24.8,80,75,6.91,light snow
96,Westport,US,41.1415,-73.3579,24.01,45,40,5.75,scattered clouds
97,Pisco,PE,-13.7,-76.2167,80.6,54,0,14.97,clear sky
98,Atuona,PF,-9.8,-139.0333,78.33,76,99,18.48,overcast clouds
99,Carnarvon,AU,-24.8667,113.6333,86.0,48,100,16.11,overcast clouds
100,Jamestown,US,42.097,-79.2353,32.0,74,90,11.5,overcast clouds
101,Hualmay,PE,-11.0964,-77.6139,77.2,61,52,14.12,broken clouds
102,Nikolskoye,RU,59.7035,30.7861,24.8,86,90,8.95,overcast clouds
103,Amazar,RU,53.858,120.875,-24.84,81,100,4.0,overcast clouds
104,Flin Flon,CA,54.7682,-101.865,15.8,86,90,2.3,light snow
